symbol,pair,contractType,deliveryDate,onboardDate,status,maintMarginPercent,requiredMarginPercent,baseAsset,quoteAsset,marginAsset,pricePrecision,quantityPrecision,baseAssetPrecision,quotePrecision,underlyingType,underlyingSubType,triggerProtect,liquidationFee,marketTakeBound,maxMoveOrderLimit,filters,orderTypes,timeInForce
ADAUSDT,ADAUSDT,PERPETUAL,4133404800000,1569398400000,TRADING,2.5000,5.0000,ADA,USDT,USDT,5,0,8,8,COIN,['Layer-1'],0.0500,0.010000,0.05,10000,"[{'minPrice': '0.01740', 'maxPrice': '20000', 'filterType': 'PRICE_FILTER', 'tickSize': '0.00010'}, {'filterType': 'LOT_SIZE', 'maxQty': '2000000', 'stepSize': '1', 'minQty': '1'}, {'filterType': 'MARKET_LOT_SIZE', 'minQty': '1', 'maxQty': '300000', 'stepSize': '1'}, {'filterType': 'MAX_NUM_ORDERS', 'limit': 200}, {'limit': 10, 'filterType': 'MAX_NUM_ALGO_ORDERS'}, {'filterType': 'MIN_NOTIONAL', 'notional': '5'}, {'filterType': 'PERCENT_PRICE', 'multiplierDown': '0.9500', 'multiplierUp': '1.0500', 'multiplierDecimal': '4'}]","['LIMIT', 'MARKET', 'STOP', 'STOP_MARKET', 'TAKE_PROFIT', 'TAKE_PROFIT_MARKET', 'TRAILING_STOP_MARKET']","['GTC', 'IOC', 'FOK', 'GTX', 'GTD']"
XMRUSDT,XMRUSDT,PERPETUAL,4133404800000,1569398400000,TRADING,2.5000,5.0000,XMR,USDT,USDT,2,3,8,8,COIN,['Privacy'],0.0500,0.015000,0.05,10000,"[{'minPrice': '4.36', 'filterType': 'PRICE_FILTER', 'tickSize': '0.01', 'maxPrice': '100000'}, {'filterType': 'LOT_SIZE', 'minQty': '0.001', 'maxQty': '10000', 'stepSize': '0.001'}, {'filterType': 'MARKET_LOT_SIZE', 'minQty': '0.001', 'maxQty': '1200', 'stepSize': '0.001'}, {'limit': 200, 'filterType': 'MAX_NUM_ORDERS'}, {'filterType': 'MAX_NUM_ALGO_ORDERS', 'limit': 10}, {'notional': '5', 'filterType': 'MIN_NOTIONAL'}, {'multiplierDown': '0.9500', 'multiplierDecimal': '4', 'filterType': 'PERCENT_PRICE', 'multiplierUp': '1.0500'}]","['LIMIT', 'MARKET', 'STOP', 'STOP_MARKET', 'TAKE_PROFIT', 'TAKE_PROFIT_MARKET', 'TRAILING_STOP_MARKET']","['GTC', 'IOC', 'FOK', 'GTX', 'GTD']"
DASHUSDT,DASHUSDT,PERPETUAL,4133404800000,1569398400000,TRADING,2.5000,5.0000,DASH,USDT,USDT,2,3,8,8,COIN,['Payment'],0.1000,0.015000,0.10,10000,"[{'minPrice': '3.82', 'maxPrice': '100000', 'tickSize': '0.01', 'filterType': 'PRICE_FILTER'}, {'filterType': 'LOT_SIZE', 'stepSize': '0.001', 'maxQty': '10000', 'minQty': '0.001'}, {'minQty': '0.001', 'maxQty': '3000', 'stepSize': '0.001', 'filterType': 'MARKET_LOT_SIZE'}, {'filterType': 'MAX_NUM_ORDERS', 'limit': 200}, {'filterType': 'MAX_NUM_ALGO_ORDERS', 'limit': 10}, {'notional': '5', 'filterType': 'MIN_NOTIONAL'}, {'multiplierDown': '0.9000', 'filterType': 'PERCENT_PRICE', 'multiplierDecimal': '4', 'multiplierUp': '1.1000'}]","['LIMIT', 'MARKET', 'STOP', 'STOP_MARKET', 'TAKE_PROFIT', 'TAKE_PROFIT_MARKET', 'TRAILING_STOP_MARKET']","['GTC', 'IOC', 'FOK', 'GTX', 'GTD']"
ZECUSDT,ZECUSDT,PERPETUAL,4133404800000,1569398400000,TRADING,2.5000,5.0000,ZEC,USDT,USDT,2,3,8,8,COIN,['Privacy'],0.1000,0.015000,0.10,10000,"[{'tickSize': '0.01', 'filterType': 'PRICE_FILTER', 'minPrice': '2.85', 'maxPrice': '100000'}, {'minQty': '0.001', 'maxQty': '6000', 'filterType': 'LOT_SIZE', 'stepSize': '0.001'}, {'stepSize': '0.001', 'minQty': '0.001', 'filterType': 'MARKET_LOT_SIZE', 'maxQty': '2000'}, {'filterType': 'MAX_NUM_ORDERS', 'limit': 200}, {'limit': 10, 'filterType': 'MAX_NUM_ALGO_ORDERS'}, {'notional': '5', 'filterType': 'MIN_NOTIONAL'}, {'multiplierDecimal': '4', 'filterType': 'PERCENT_PRICE', 'multiplierUp': '1.1000', 'multiplierDown': '0.9000'}]","['LIMIT', 'MARKET', 'STOP', 'STOP_MARKET', 'TAKE_PROFIT', 'TAKE_PROFIT_MARKET', 'TRAILING_STOP_MARKET']","['GTC', 'IOC', 'FOK', 'GTX', 'GTD']"
XTZUSDT,XTZUSDT,PERPETUAL,4133404800000,1569398400000,TRADING,2.5000,5.0000,XTZ,USDT,USDT,3,1,8,8,COIN,['Layer-1'],0.1000,0.010000,0.10,10000,"[{'tickSize': '0.001', 'minPrice': '0.064', 'maxPrice': '100000', 'filterType': 'PRICE_FILTER'}, {'maxQty': '1000000', 'filterType': 'LOT_SIZE', 'minQty': '0.1', 'stepSize': '0.1'}, {'minQty': '0.1', 'maxQty': '100000', 'filterType': 'MARKET_LOT_SIZE', 'stepSize': '0.1'}, {'filterType': 'MAX_NUM_ORDERS', 'limit': 200}, {'filterType': 'MAX_NUM_ALGO_ORDERS', 'limit': 10}, {'filterType': 'MIN_NOTIONAL', 'notional': '5'}, {'filterType': 'PERCENT_PRICE', 'multiplierUp': '1.1000', 'multiplierDecimal': '4', 'multiplierDown': '0.9000'}]","['LIMIT', 'MARKET', 'STOP', 'STOP_MARKET', 'TAKE_PROFIT', 'TAKE_PROFIT_MARKET', 'TRAILING_STOP_MARKET']","['GTC', 'IOC', 'FOK', 'GTX', 'GTD']"
BNBUSDT,BNBUSDT,PERPETUAL,4133404800000,1569398400000,TRADING,2.5000,5.0000,BNB,USDT,USDT,3,2,8,8,COIN,['Layer-1'],0.0500,0.015000,0.05,10000,"[{'filterType': 'PRICE_FILTER', 'maxPrice': '100000', 'minPrice': '6.600', 'tickSize': '0.010'}, {'maxQty': '100000', 'stepSize': '0.01', 'filterType': 'LOT_SIZE', 'minQty': '0.01'}, {'stepSize': '0.01', 'maxQty': '2000', 'minQty': '0.01', 'filterType': 'MARKET_LOT_SIZE'}, {'limit': 200, 'filterType': 'MAX_NUM_ORDERS'}, {'filterType': 'MAX_NUM_ALGO_ORDERS', 'limit': 10}, {'notional': '5', 'filterType': 'MIN_NOTIONAL'}, {'multiplierDecimal': '4', 'multiplierDown': '0.9500', 'filterType': 'PERCENT_PRICE', 'multiplierUp': '1.0500'}]","['LIMIT', 'MARKET', 'STOP', 'STOP_MARKET', 'TAKE_PROFIT', 'TAKE_PROFIT_MARKET', 'TRAILING_STOP_MARKET']","['GTC', 'IOC', 'FOK', 'GTX', 'GTD']"
ATOMUSDT,ATOMUSDT,PERPETUAL,4133404800000,1569398400000,TRADING,2.5000,5.0000,ATOM,USDT,USDT,3,2,8,8,COIN,['Layer-1'],0.1000,0.017500,0.10,10000,"[{'minPrice': '0.251', 'tickSize': '0.001', 'maxPrice': '100000', 'filterType': 'PRICE_FILTER'}, {'filterType': 'LOT_SIZE', 'minQty': '0.01', 'maxQty': '100000', 'stepSize': '0.01'}, {'minQty': '0.01', 'maxQty': '20000', 'filterType': 'MARKET_LOT_SIZE', 'stepSize': '0.01'}, {'filterType': 'MAX_NUM_ORDERS', 'limit': 200}, {'filterType': 'MAX_NUM_ALGO_ORDERS', 'limit': 10}, {'notional': '5', 'filterType': 'MIN_NOTIONAL'}, {'multiplierUp': '1.1000', 'filterType': 'PERCENT_PRICE', 'multiplierDecimal': '4', 'multiplierDown': '0.9000'}]","['LIMIT', 'MARKET', 'STOP', 'STOP_MARKET', 'TAKE_PROFIT', 'TAKE_PROFIT_MARKET', 'TRAILING_STOP_MARKET']","['GTC', 'IOC', 'FOK', 'GTX', 'GTD']"
ONTUSDT,ONTUSDT,PERPETUAL,4133404800000,1569398400000,TRADING,2.5000,5.0000,ONT,USDT,USDT,4,1,8,8,COIN,['Layer-1'],0.1500,0.010000,0.15,10000,"[{'filterType': 'PRICE_FILTER', 'minPrice': '0.0241', 'tickSize': '0.0001', 'maxPrice': '100000'}, {'filterType': 'LOT_SIZE', 'minQty': '0.1', 'maxQty': '1000000', 'stepSize': '0.1'}, {'minQty': '0.1', 'filterType': 'MARKET_LOT_SIZE', 'maxQty': '250000', 'stepSize': '0.1'}, {'filterType': 'MAX_NUM_ORDERS', 'limit': 200}, {'limit': 10, 'filterType': 'MAX_NUM_ALGO_ORDERS'}, {'notional': '5', 'filterType': 'MIN_NOTIONAL'}, {'multiplierUp': '1.1500', 'filterType': 'PERCENT_PRICE', 'multiplierDown': '0.8500', 'multiplierDecimal': '4'}]","['LIMIT', 'MARKET', 'STOP', 'STOP_MARKET', 'TAKE_PROFIT', 'TAKE_PROFIT_MARKET', 'TRAILING_STOP_MARKET']","['GTC', 'IOC', 'FOK', 'GTX', 'GTD']"
IOTAUSDT,IOTAUSDT,PERPETUAL,4133404800000,1569398400000,TRADING,2.5000,5.0000,IOTA,USDT,USDT,4,1,8,8,COIN,['Layer-1'],0.1000,0.010000,0.10,10000,"[{'maxPrice': '100000', 'tickSize': '0.0001', 'filterType': 'PRICE_FILTER', 'minPrice': '0.0205'}, {'stepSize': '0.1', 'filterType': 'LOT_SIZE', 'maxQty': '1000000', 'minQty': '0.1'}, {'maxQty': '200000', 'minQty': '0.1', 'stepSize': '0.1', 'filterType': 'MARKET_LOT_SIZE'}, {'filterType': 'MAX_NUM_ORDERS', 'limit': 200}, {'filterType': 'MAX_NUM_ALGO_ORDERS', 'limit': 10}, {'notional': '5', 'filterType': 'MIN_NOTIONAL'}, {'filterType': 'PERCENT_PRICE', 'multiplierDecimal': '4', 'multiplierUp': '1.1000', 'multiplierDown': '0.9000'}]","['LIMIT', 'MARKET', 'STOP', 'STOP_MARKET', 'TAKE_PROFIT', 'TAKE_PROFIT_MARKET', 'TRAILING_STOP_MARKET']","['GTC', 'IOC', 'FOK', 'GTX', 'GTD']"
BATUSDT,BATUSDT,PERPETUAL,4133404800000,1569398400000,TRADING,2.5000,5.0000,BAT,USDT,USDT,4,1,8,8,COIN,['Infrastructure'],0.1000,0.010000,0.10,10000,"[{'maxPrice': '100000', 'tickSize': '0.0001', 'filterType': 'PRICE_FILTER', 'minPrice': '0.0134'}, {'stepSize': '0.1', 'minQty': '0.1', 'maxQty': '1000000', 'filterType': 'LOT_SIZE'}, {'filterType': 'MARKET_LOT_SIZE', 'stepSize': '0.1', 'maxQty': '600000', 'minQty': '0.1'}, {'filterType': 'MAX_NUM_ORDERS', 'limit': 200}, {'filterType': 'MAX_NUM_ALGO_ORDERS', 'limit': 10}, {'filterType': 'MIN_NOTIONAL', 'notional': '5'}, {'multiplierDown': '0.9000', 'multiplierDecimal': '4', 'multiplierUp': '1.1000', 'filterType': 'PERCENT_PRICE'}]","['LIMIT', 'MARKET', 'STOP', 'STOP_MARKET', 'TAKE_PROFIT', 'TAKE_PROFIT_MARKET', 'TRAILING_STOP_MARKET']","['GTC', 'IOC', 'FOK', 'GTX', 'GTD']"
