Timestamp,Open,High,Low,Close
2024-03-29,3535.55,3990.00,3535.55,3885.0
2024-03-30,3885.46,3984.51,3867.03,3924.37
2024-03-31,3924.93,4159.60,3923.12,4154.39
2024-04-01,4154.78,4154.78,3822.00,3902.53
2024-04-02,3904.47,3906.18,3528.01,3614.34
2024-04-03,3614.49,3700.94,3528.00,3633.23
2024-04-04,3633.39,3789.56,3563.28,3649.84
2024-04-05,3648.73,3668.15,3507.23,3631.91
2024-04-06,3631.91,3697.06,3606.62,3646.73
2024-04-07,3647.33,3772.22,3639.99,3764.19
2024-04-08,3764.20,4117.54,3711.41,4067.75
2024-04-09,4070.53,4107.63,3783.06,3843.17
2024-04-10,3842.59,3898.98,3730.70,3879.56
2024-04-11,3879.63,3957.36,3794.51,3812.91
2024-04-12,3812.36,3873.60,3345.54,3506.5
2024-04-13,3504.16,3558.19,2975.00,3197.27
2024-04-14,3196.31,3389.10,3087.28,3367.62
2024-04-15,3367.07,3508.78,3214.94,3301.39
2024-04-16,3301.68,3327.28,3176.33,3271.05
2024-04-17,3272.26,3320.19,3072.58,3135.62
2024-04-18,3134.78,3260.00,3103.21,3223.9
2024-04-19,3223.99,3295.00,3010.00,3193.26
2024-04-20,3193.04,3317.76,3154.38,3304.56
2024-04-21,3304.26,3352.20,3266.77,3302.6
2024-04-22,3302.60,3400.00,3281.40,3371.84
2024-04-23,3371.53,3441.66,3320.07,3392.84
2024-04-24,3392.84,3475.13,3271.59,3312.09
2024-04-25,3311.23,3356.82,3229.95,3318.47
2024-04-26,3319.09,3329.95,3260.00,3291.16
2024-04-27,3291.98,3443.07,3220.44,3415.47
2024-04-28,3415.87,3526.18,3410.53,3422.12
2024-04-29,3424.03,3449.40,3256.00,3357.34
2024-04-30,3358.00,3393.17,3032.47,3129.98
2024-05-01,3130.25,3140.08,2911.04,3067.52
2024-05-02,3067.64,3118.36,2983.17,3085.6
2024-05-03,3085.20,3249.44,3054.76,3222.39
2024-05-04,3222.78,3296.76,3215.38,3245.18
2024-05-05,3244.90,3303.16,3195.87,3262.8
2024-05-06,3263.84,3355.81,3171.23,3189.96
2024-05-07,3190.67,3261.92,3126.20,3131.94
2024-05-08,3131.83,3166.48,3060.00,3095.8
2024-05-09,3095.61,3178.89,3070.00,3155.4
2024-05-10,3154.94,3171.23,2988.91,3013.78
2024-05-11,3013.77,3058.86,2991.18,3017.76
2024-05-12,3017.54,3061.35,3003.81,3035.41
2024-05-13,3035.82,3104.17,2968.09,3058.07
2024-05-14,3058.47,3066.88,2965.00,2985.1
2024-05-15,2985.09,3150.99,2966.27,3141.96
2024-05-16,3141.80,3152.43,3028.23,3052.85
2024-05-17,3053.32,3238.98,3041.29,3207.51
2024-05-18,3207.50,3268.27,3200.00,3245.84
2024-05-19,3245.88,3261.30,3176.09,3193.85
