Timestamp,Open,High,Low,Close
2023-08-18,1707.57,1720.86,1670.23,1688.18
2023-08-19,1688.02,1720.00,1677.51,1691.81
2023-08-20,1691.89,1716.25,1684.12,1705.27
2023-08-21,1705.94,1708.51,1670.00,1688.64
2023-08-22,1689.22,1692.98,1550.00,1657.42
2023-08-23,1657.90,1727.10,1652.39,1704.55
2023-08-24,1703.18,1706.82,1658.63,1684.38
2023-08-25,1684.30,1700.00,1658.84,1676.69
2023-08-26,1676.80,1679.03,1664.09,1667.47
2023-08-27,1667.45,1680.97,1666.58,1679.14
2023-08-28,1678.68,1685.86,1645.36,1676.05
2023-08-29,1676.06,1769.05,1662.50,1752.32
2023-08-30,1752.34,1754.69,1717.75,1729.17
2023-08-31,1729.08,1750.00,1654.00,1670.0
2023-09-01,1669.90,1678.80,1625.00,1651.89
2023-09-02,1652.33,1669.78,1649.63,1659.79
2023-09-03,1660.23,1671.00,1646.81,1658.24
2023-09-04,1658.03,1666.99,1638.48,1653.55
2023-09-05,1653.11,1669.00,1629.51,1654.99
2023-09-06,1654.96,1692.60,1629.00,1654.92
2023-09-07,1654.91,1679.72,1645.00,1668.68
2023-09-08,1668.60,1678.79,1637.00,1656.71
2023-09-09,1656.88,1658.90,1650.00,1654.62
2023-09-10,1654.59,1655.71,1611.85,1636.25
2023-09-11,1636.69,1638.29,1550.00,1569.56
2023-09-12,1568.81,1645.51,1567.09,1608.15
2023-09-13,1608.15,1635.48,1596.87,1624.08
2023-09-14,1624.08,1664.82,1623.79,1642.63
2023-09-15,1642.29,1671.75,1628.27,1658.83
2023-09-16,1657.84,1669.16,1647.01,1650.27
2023-09-17,1650.18,1651.35,1626.50,1636.5
2023-09-18,1637.48,1683.78,1614.53,1651.75
2023-09-19,1650.07,1674.60,1641.31,1656.79
2023-09-20,1656.92,1664.08,1618,1637.11
2023-09-21,1637.19,1639.38,1580.35,1598.13
2023-09-22,1598.08,1617.31,1591.66,1607.33
2023-09-23,1607.18,1611.75,1600.37,1607.53
2023-09-24,1607.89,1613.95,1582.23,1593.7
2023-09-25,1593.58,1610.89,1575,1601.8
2023-09-26,1601.85,1611.50,1594,1607.24
2023-09-27,1607.62,1647.88,1597.33,1612.23
2023-09-28,1612.27,1684.74,1611.73,1668.93
2023-09-29,1668.94,1705,1664,1682.85
2023-09-30,1682.97,1709.21,1681.54,1685.71
2023-10-01,1685.79,1798.57,1682.35,1747.3
