Timestamp,Open,High,Low,Close
2023-12-29,2379.62,2582.53,2311.24,2471.11
2023-12-30,2469.00,2506.14,2442.06,2465.88
2023-12-31,2466.17,2504.98,2440.42,2466.53
2024-01-01,2466.53,2550.00,2452.76,2550.0
2024-01-02,2549.99,2641.99,2546.26,2565.34
2024-01-03,2566.41,2596.91,2228.84,2376.28
2024-01-04,2375.82,2459.53,2372.30,2430.11
2024-01-05,2430.46,2438.64,2356.58,2425.57
2024-01-06,2426.14,2429.16,2362.86,2381.84
2024-01-07,2381.88,2397.21,2340.00,2353.38
2024-01-08,2353.39,2501.96,2293.69,2472.36
2024-01-09,2473.40,2515.95,2337.16,2489.81
2024-01-10,2490.23,2810.86,2481.72,2742.41
2024-01-11,2743.84,2854.51,2722.80,2790.02
2024-01-12,2790.25,2884.83,2605.00,2674.27
2024-01-13,2674.36,2746.04,2647.29,2733.3
2024-01-14,2733.67,2733.90,2605.10,2608.78
2024-01-15,2609.95,2698.33,2606.88,2649.65
2024-01-16,2649.50,2756.49,2635.09,2729.53
2024-01-17,2730.65,2735.70,2640.00,2665.94
2024-01-18,2665.94,2683.55,2560.00,2604.02
2024-01-19,2603.15,2633.98,2535.85,2621.59
2024-01-20,2621.59,2621.59,2581.59,2599.05
2024-01-21,2599.56,2612.50,2578.00,2582.4
2024-01-22,2581.96,2592.23,2415.00,2425.71
2024-01-23,2425.69,2464.54,2265.85,2347.91
2024-01-24,2347.90,2369.69,2296.89,2340.13
2024-01-25,2340.94,2347.34,2270.40,2321.89
2024-01-26,2322.60,2385.25,2293.98,2365.54
2024-01-27,2366.81,2381.31,2349.14,2366.53
2024-01-28,2366.53,2407.87,2337.45,2355.89
2024-01-29,2355.55,2421.61,2332.55,2419.55
2024-01-30,2419.46,2497.33,2398.01,2443.12
2024-01-31,2442.65,2451.29,2360.45,2380.37
2024-02-01,2379.54,2407.00,2334.32,2400.0
2024-02-02,2400.00,2416.32,2369.34,2401.36
2024-02-03,2401.12,2421.97,2379.71,2384.87
2024-02-04,2384.79,2396.66,2346.25,2375.0
2024-02-05,2375.00,2425.33,2352.25,2387.19
2024-02-06,2387.12,2479.76,2383.30,2458.3
2024-02-07,2459.25,2535.05,2440.00,2512.34
2024-02-08,2513.06,2558.07,2498.74,2510.88
2024-02-09,2511.38,2623.62,2510.62,2579.62
2024-02-10,2579.64,2612.82,2565.26,2596.93
2024-02-11,2596.67,2637.22,2587.06,2603.71
2024-02-12,2604.33,2773.06,2567.01,2766.82
2024-02-13,2768.20,2799.89,2686.41,2746.62
2024-02-14,2746.29,2922.62,2721.38,2913.61
2024-02-15,2912.72,3009.78,2890.91,2960.58
2024-02-16,2961.21,3000.00,2868.00,2937.94
2024-02-17,2937.94,2939.56,2841.21,2916.81
2024-02-18,2917.88,3033.55,2896.00,3018.05
2024-02-19,3018.67,3136.21,2994.06,3088.75
2024-02-20,3087.82,3180.04,3014.57,3157.08
2024-02-21,3157.79,3161.12,2994.76,3108.44
2024-02-22,3108.59,3183.40,3043.25,3112.84
2024-02-23,3112.92,3133.00,3041.71,3057.6
2024-02-24,3057.60,3153.72,3041.35,3136.52
2024-02-25,3136.52,3286.80,3125.79,3266.86
2024-02-26,3267.46,3359.93,3185.99,3339.27
2024-02-27,3339.94,3468.34,3327.14,3413.4
2024-02-28,3413.70,3687.65,3335.78,3567.29
2024-02-29,3568.12,3723.83,3482.21,3533.33
2024-03-01,3533.65,3650.00,3530.96,3621.06
2024-03-02,3620.51,3651.99,3586.11,3615.73
2024-03-03,3616.17,3711.50,3544.41,3706.48
2024-03-04,3705.49,3888.85,3644.83,3871.46
2024-03-05,3873.03,4107.93,3403.27,3806.94
2024-03-06,3805.46,4201.48,3732.55,4084.41
2024-03-07,4087.71,4219.98,3993.33,4141.32
2024-03-08,4141.32,4309.10,4097.16,4164.88
2024-03-09,4164.87,4241.62,4155.00,4196.9
2024-03-10,4196.89,4263.08,4066.98,4166.93
2024-03-11,4166.55,4383.18,4006.07,4359.65
2024-03-12,4359.94,4392.67,4093.33,4268.14
2024-03-13,4269.66,4393.14,4214.29,4290.13
2024-03-14,4290.13,4296.65,3962.04,4147.66
2024-03-15,4146.03,4203.90,3800.00,3996.98
2024-03-16,3997.01,4039.25,3688.00,3748.82
2024-03-17,3748.63,3936.37,3628.00,3897.01
2024-03-18,3897.16,3897.16,3686.66,3751.85
2024-03-19,3751.09,3781.89,3340.63,3347.62
2024-03-20,3347.62,3759.77,3234.09,3738.97
2024-03-21,3737.97,3807.28,3624.27,3712.59
2024-03-22,3712.64,3762.12,3442.25,3536.81
2024-03-23,3538.55,3644.47,3468.00,3529.3
2024-03-24,3529.74,3693.68,3500.00,3674.05
2024-03-25,3675.91,3890.36,3634.72,3822.08
2024-03-26,3821.49,3918.99,3759.36,3814.4
2024-03-27,3814.28,3900.00,3673.55,3725.72
2024-03-28,3726.96,3847.00,3680.92,3787.48
2024-03-29,3787.68,3815.12,3691.41,3733.3
2024-03-30,3732.56,3801.37,3710.06,3738.47
2024-03-31,3738.85,3947.56,3737.29,3943.14
2024-04-01,3942.19,3942.19,3651.37,3743.44
2024-04-02,3744.57,3745.86,3378.00,3454.28
2024-04-03,3454.21,3541.79,3370.72,3481.98
2024-04-04,3481.55,3638.04,3410.04,3496.12
2024-04-05,3495.87,3509.52,3363.03,3477.46
2024-04-06,3477.72,3545.00,3463.61,3494.78
2024-04-07,3494.25,3609.98,3487.51,3603.37
2024-04-08,3603.27,3953.07,3553.89,3901.71
2024-04-09,3901.53,3935.17,3613.83,3667.96
2024-04-10,3664.74,3724.14,3560.48,3702.3
2024-04-11,3702.67,3783.83,3626.03,3653.45
2024-04-12,3653.46,3706.24,3179.16,3345.01
2024-04-13,3345.00,3406.66,2823.77,3066.52
2024-04-14,3065.60,3257.00,2963.18,3236.65
2024-04-15,3236.28,3376.11,3096.90,3180.83
2024-04-16,3181.09,3204.56,3051.30,3160.06
2024-04-17,3160.89,3202.52,2977.16,3048.5
2024-04-18,3048.85,3165.72,3015.64,3134.8
2024-04-19,3134.60,3199.27,2925.50,3111.84
2024-04-20,3111.96,3235.00,3073.41,3219.44
2024-04-21,3219.61,3264.89,3179.64,3212.43
2024-04-22,3212.38,3307.47,3194.09,3270.16
2024-04-23,3269.93,3337.46,3218.52,3288.3
2024-04-24,3288.30,3364.46,3164.94,3204.65
2024-04-25,3205.01,3255.02,3131.25,3217.02
2024-04-26,3216.86,3228.00,3157.51,3188.04
2024-04-27,3188.22,3340.65,3118.76,3312.89
2024-04-28,3313.31,3427.28,3306.98,3319.41
2024-04-29,3321.01,3346.59,3165.05,3268.42
2024-04-30,3269.82,3303.89,2958.89,3056.99
2024-05-01,3056.66,3067.19,2850.00,3010.59
2024-05-02,3011.49,3057.90,2929.38,3026.3
2024-05-03,3025.16,3172.02,2994.83,3145.01
2024-05-04,3145.83,3213.75,3136.12,3161.64
2024-05-05,3161.69,3218.36,3115.33,3182.27
2024-05-06,3182.47,3269.49,3090.55,3107.22
2024-05-07,3107.22,3176.75,3043.53,3049.31
2024-05-08,3047.43,3083.19,2977.75,3016.74
2024-05-09,3016.16,3100.00,2990.30,3076.81
2024-05-10,3076.82,3092.11,2909.78,2943.84
2024-05-11,2943.27,2981.37,2920.01,2946.39
2024-05-12,2946.22,2989.67,2934.73,2963.42
2024-05-13,2964.31,3032.06,2897.00,2985.69
2024-05-14,2985.61,2996.68,2892.76,2915.16
2024-05-15,2915.01,3073.62,2896.85,3066.22
2024-05-16,3065.82,3074.99,2953.95,2976.34
2024-05-17,2976.33,3155.46,2964.15,3126.4
2024-05-18,3126.29,3182.14,3117.67,3158.51
2024-05-19,3158.49,3174.15,3085.05,3104.48
2024-05-20,3105.12,3740.96,3080.00,3710.37
2024-05-21,3711.09,3898.80,3672.27,3842.52
2024-05-22,3843.18,3869.24,3705.15,3790.02
2024-05-23,3790.38,4023.00,3563.23,3840.01
2024-05-24,3836.92,3885.89,3670.68,3771.83
2024-05-25,3773.34,3825.20,3754.14,3792.02
2024-05-26,3792.20,3929.10,3772.96,3870.34
2024-05-27,3869.74,4025.63,3866.12,3941.4
2024-05-28,3941.39,3978.81,3820.00,3893.05
2024-05-29,3893.56,3938.26,3786.09,3809.83
2024-05-30,3809.50,3867.32,3738.64,3781.34
2024-05-31,3782.59,3888.00,3757.71,3798.76
2024-06-01,3799.69,3873.90,3788.75,3854.87
2024-06-02,3854.83,3877.24,3788.00,3819.94
2024-06-03,3819.95,3893.84,3786.27,3798.69
2024-06-04,3798.73,3865.14,3753.37,3844.01
2024-06-05,3844.52,3921.99,3808.25,3898.46
2024-06-06,3898.56,3910.82,3789.22,3844.44
2024-06-07,3843.65,3874.99,3600.00,3705.81
2024-06-08,3705.26,3737.05,3687.28,3709.08
2024-06-09,3709.07,3748.61,3693.19,3731.82
2024-06-10,3731.82,3738.17,3666.86,3689.58
2024-06-11,3689.80,3694.59,3431.95,3514.59
2024-06-12,3514.88,3678.92,3477.33,3579.55
2024-06-13,3579.55,3581.70,3445.34,3487.72
2024-06-14,3488.32,3550.00,3374.78,3494.62
2024-06-15,3494.67,3605.60,3486.63,3580.57
2024-06-16,3580.85,3669.07,3552.80,3637.7
2024-06-17,3637.20,3651.80,3473.71,3520.11
2024-06-18,3520.35,3525.69,3351.01,3492.64
2024-06-19,3492.64,3595.19,3473.99,3567.33
2024-06-20,3566.19,3633.43,3492.01,3516.98
2024-06-21,3516.39,3552.09,3449.04,3520.99
2024-06-22,3522.52,3525.43,3480.01,3499.74
2024-06-23,3499.26,3524.88,3403.14,3424.23
2024-06-24,3422.70,3439.36,3214.08,3354.86
2024-06-25,3355.44,3433.60,3338.81,3397.31
2024-06-26,3397.48,3428.32,3326.89,3373.61
2024-06-27,3374.14,3476.80,3364.62,3449.98
2024-06-28,3449.96,3487.83,3435.45,3445.0
2024-06-29,3445.00,3445.00,3445.00,3445.0
2024-06-30,3445.00,3445.00,3445.00,3445.0
2024-07-01,3445.00,3445.00,3445.00,3445.0
