Timestamp,prompt_Open,prompt_High,prompt_Low,prompt_Close,prompt_Contract,prompt_days_till_expiry,next_Open,next_High,next_Low,next_Close,next_Contract,next_days_till_expiry
2023-06-25,1884.86,1948.11,1882.68,1917.05,ETHUSDT_230929,96.33333333333333,,,,,,
2023-06-26,1916.61,1925.0,1854.27,1874.49,ETHUSDT_230929,95.33333333333333,,,,,,
2023-06-27,1876.43,1928.64,1870.53,1906.03,ETHUSDT_230929,94.33333333333333,,,,,,
2023-06-28,1906.05,1906.88,1834.88,1844.81,ETHUSDT_230929,93.33333333333333,,,,,,
2023-06-29,1844.94,1897.6,1844.94,1870.13,ETHUSDT_230929,92.33333333333333,,,,,,
2023-06-30,1870.43,1970.0,1843.71,1955.01,ETHUSDT_230929,91.33333333333333,,,,,,
2023-07-01,1955.34,1967.02,1931.39,1948.36,ETHUSDT_230929,90.33333333333333,,,,,,
2023-07-02,1948.31,1988.02,1910.93,1963.31,ETHUSDT_230929,89.33333333333333,,,,,,
2023-07-03,1963.37,2003.31,1958.84,1979.08,ETHUSDT_230929,88.33333333333333,,,,,,
2023-07-04,1978.87,1991.13,1954.62,1958.64,ETHUSDT_230929,87.33333333333333,,,,,,
2023-07-05,1958.5,1965.26,1915.88,1933.29,ETHUSDT_230929,86.33333333333333,,,,,,
2023-07-06,1933.37,1982.29,1866.88,1867.41,ETHUSDT_230929,85.33333333333333,,,,,,
2023-07-07,1867.41,1898.96,1846.38,1892.01,ETHUSDT_230929,84.33333333333333,,,,,,
2023-07-08,1892.1,1895.11,1861.68,1886.15,ETHUSDT_230929,83.33333333333333,,,,,,
2023-07-09,1886.02,1900.72,1876.28,1882.84,ETHUSDT_230929,82.33333333333333,,,,,,
2023-07-10,1882.86,1926.94,1866.58,1901.21,ETHUSDT_230929,81.33333333333333,,,,,,
2023-07-11,1901.19,1913.13,1882.43,1898.14,ETHUSDT_230929,80.33333333333333,,,,,,
2023-07-12,1898.19,1923.56,1882.61,1890.16,ETHUSDT_230929,79.33333333333333,,,,,,
2023-07-13,1890.31,2036.69,1881.14,2026.69,ETHUSDT_230929,78.33333333333333,,,,,,
2023-07-14,2026.67,2052.64,1917.98,1957.82,ETHUSDT_230929,77.33333333333333,,,,,,
2023-07-15,1957.83,1965.34,1944.05,1949.61,ETHUSDT_230929,76.33333333333333,,,,,,
2023-07-16,1949.56,1962.22,1931.17,1940.01,ETHUSDT_230929,75.33333333333333,,,,,,
2023-07-17,1939.38,1953.84,1889.11,1927.58,ETHUSDT_230929,74.33333333333333,,,,,,
2023-07-18,1927.79,1933.99,1890.13,1913.74,ETHUSDT_230929,73.33333333333333,,,,,,
2023-07-19,1913.75,1940.01,1898.07,1904.71,ETHUSDT_230929,72.33333333333333,,,,,,
2023-07-20,1904.81,1945.92,1893.72,1907.25,ETHUSDT_230929,71.33333333333333,,,,,,
2023-07-21,1907.25,1922.54,1901.23,1907.92,ETHUSDT_230929,70.33333333333333,,,,,,
2023-07-22,1908.12,1913.54,1863.98,1880.58,ETHUSDT_230929,69.33333333333333,,,,,,
2023-07-23,1880.57,1923.78,1876.16,1906.95,ETHUSDT_230929,68.33333333333333,,,,,,
2023-07-24,1907.08,1909.63,1849.65,1866.48,ETHUSDT_230929,67.33333333333333,,,,,,
2023-07-25,1866.52,1884.1,1861.89,1873.83,ETHUSDT_230929,66.33333333333333,,,,,,
2023-07-26,1873.95,1904.63,1863.64,1888.89,ETHUSDT_230929,65.33333333333333,,,,,,
2023-07-27,1889.14,1902.8,1869.23,1875.87,ETHUSDT_230929,64.33333333333333,,,,,,
2023-07-28,1875.68,1898.98,1871.23,1888.31,ETHUSDT_230929,63.333333333333336,,,,,,
2023-07-29,1888.32,1901.24,1882.74,1894.75,ETHUSDT_230929,62.333333333333336,,,,,,
2023-07-30,1894.73,1899.46,1860.32,1874.33,ETHUSDT_230929,61.333333333333336,,,,,,
2023-07-31,1874.39,1891.17,1864.54,1869.81,ETHUSDT_230929,60.333333333333336,,,,,,
2023-08-01,1869.92,1892.42,1825.0,1889.91,ETHUSDT_230929,59.333333333333336,,,,,,
2023-08-02,1890.13,1896.43,1837.0,1856.96,ETHUSDT_230929,58.333333333333336,,,,,,
2023-08-03,1857.02,1878.0,1842.78,1853.31,ETHUSDT_230929,57.333333333333336,,,,,,
2023-08-04,1852.87,1869.99,1830.17,1846.8,ETHUSDT_230929,56.333333333333336,,,,,,
2023-08-05,1846.87,1857.53,1844.33,1854.83,ETHUSDT_230929,55.333333333333336,,,,,,
2023-08-06,1854.81,1857.31,1844.15,1848.95,ETHUSDT_230929,54.333333333333336,,,,,,
2023-08-07,1848.92,1866.65,1817.69,1846.52,ETHUSDT_230929,53.333333333333336,,,,,,
2023-08-08,1846.38,1892.76,1843.84,1870.53,ETHUSDT_230929,52.333333333333336,,,,,,
2023-08-09,1870.77,1887.31,1862.13,1871.31,ETHUSDT_230929,51.333333333333336,,,,,,
2023-08-10,1871.23,1883.56,1862.45,1869.01,ETHUSDT_230929,50.333333333333336,,,,,,
2023-08-11,1868.88,1873.69,1853.44,1864.06,ETHUSDT_230929,49.333333333333336,,,,,,
2023-08-12,1864.05,1869.3,1861.14,1865.19,ETHUSDT_230929,48.333333333333336,,,,,,
2023-08-13,1865.25,1878.36,1849.05,1855.45,ETHUSDT_230929,47.333333333333336,,,,,,
2023-08-14,1855.56,1871.42,1849.68,1859.67,ETHUSDT_230929,46.333333333333336,,,,,,
2023-08-15,1859.67,1862.17,1824.21,1844.04,ETHUSDT_230929,45.333333333333336,,,,,,
2023-08-16,1844.04,1845.99,1809.75,1822.29,ETHUSDT_230929,44.333333333333336,,,,,,
2023-08-17,1822.42,1824.82,1505.49,1689.78,ETHUSDT_230929,43.333333333333336,,,,,,
2023-08-18,1689.96,1708.14,1648.94,1670.49,ETHUSDT_230929,42.333333333333336,1707.57,1720.86,1670.23,1688.18,ETHUSDT_231229,133.33333333333334
2023-08-19,1670.83,1705.0,1662.18,1678.05,ETHUSDT_230929,41.333333333333336,1688.02,1720.0,1677.51,1691.81,ETHUSDT_231229,132.33333333333334
2023-08-20,1678.06,1701.14,1669.55,1690.55,ETHUSDT_230929,40.333333333333336,1691.89,1716.25,1684.12,1705.27,ETHUSDT_231229,131.33333333333334
2023-08-21,1691.0,1693.69,1652.32,1671.77,ETHUSDT_230929,39.333333333333336,1705.94,1708.51,1670.0,1688.64,ETHUSDT_231229,130.33333333333334
2023-08-22,1671.8,1674.14,1582.89,1639.69,ETHUSDT_230929,38.333333333333336,1689.22,1692.98,1550.0,1657.42,ETHUSDT_231229,129.33333333333334
2023-08-23,1639.77,1709.19,1634.1,1683.78,ETHUSDT_230929,37.333333333333336,1657.9,1727.1,1652.39,1704.55,ETHUSDT_231229,128.33333333333334
2023-08-24,1683.8,1687.49,1637.91,1664.81,ETHUSDT_230929,36.333333333333336,1703.18,1706.82,1658.63,1684.38,ETHUSDT_231229,127.33333333333333
2023-08-25,1664.77,1680.35,1637.1,1656.6,ETHUSDT_230929,35.333333333333336,1684.3,1700.0,1658.84,1676.69,ETHUSDT_231229,126.33333333333333
2023-08-26,1656.91,1659.08,1646.14,1649.6,ETHUSDT_230929,34.333333333333336,1676.8,1679.03,1664.09,1667.47,ETHUSDT_231229,125.33333333333333
2023-08-27,1649.5,1663.6,1648.52,1661.57,ETHUSDT_230929,33.333333333333336,1667.45,1680.97,1666.58,1679.14,ETHUSDT_231229,124.33333333333333
2023-08-28,1661.47,1666.83,1611.46,1656.64,ETHUSDT_230929,32.333333333333336,1678.68,1685.86,1645.36,1676.05,ETHUSDT_231229,123.33333333333333
2023-08-29,1656.47,1749.15,1642.62,1733.43,ETHUSDT_230929,31.333333333333332,1676.06,1769.05,1662.5,1752.32,ETHUSDT_231229,122.33333333333333
2023-08-30,1733.93,1735.2,1697.32,1708.86,ETHUSDT_230929,30.333333333333332,1752.34,1754.69,1717.75,1729.17,ETHUSDT_231229,121.33333333333333
2023-08-31,1709.13,1730.0,1631.16,1647.23,ETHUSDT_230929,29.333333333333332,1729.08,1750.0,1654.0,1670.0,ETHUSDT_231229,120.33333333333333
2023-09-01,1647.23,1655.99,1601.96,1630.01,ETHUSDT_230929,28.333333333333332,1669.9,1678.8,1625.0,1651.89,ETHUSDT_231229,119.33333333333333
2023-09-02,1630.29,1649.2,1629.05,1638.41,ETHUSDT_230929,27.333333333333332,1652.33,1669.78,1649.63,1659.79,ETHUSDT_231229,118.33333333333333
2023-09-03,1638.5,1650.34,1626.06,1636.22,ETHUSDT_230929,26.333333333333332,1660.23,1671.0,1646.81,1658.24,ETHUSDT_231229,117.33333333333333
2023-09-04,1636.27,1645.78,1616.48,1631.05,ETHUSDT_230929,25.333333333333332,1658.03,1666.99,1638.48,1653.55,ETHUSDT_231229,116.33333333333333
2023-09-05,1631.47,1648.56,1610.38,1634.95,ETHUSDT_230929,24.333333333333332,1653.11,1669.0,1629.51,1654.99,ETHUSDT_231229,115.33333333333333
2023-09-06,1635.15,1673.36,1608.93,1633.9,ETHUSDT_230929,23.333333333333332,1654.96,1692.6,1629.0,1654.92,ETHUSDT_231229,114.33333333333333
2023-09-07,1633.82,1660.5,1624.21,1648.72,ETHUSDT_230929,22.333333333333332,1654.91,1679.72,1645.0,1668.68,ETHUSDT_231229,113.33333333333333
2023-09-08,1648.62,1660.0,1616.21,1637.13,ETHUSDT_230929,21.333333333333332,1668.6,1678.79,1637.0,1656.71,ETHUSDT_231229,112.33333333333333
2023-09-09,1637.15,1638.19,1629.22,1634.91,ETHUSDT_230929,20.333333333333332,1656.88,1658.9,1650.0,1654.62,ETHUSDT_231229,111.33333333333333
2023-09-10,1634.97,1635.32,1593.27,1617.89,ETHUSDT_230929,19.333333333333332,1654.59,1655.71,1611.85,1636.25,ETHUSDT_231229,110.33333333333333
2023-09-11,1617.76,1619.59,1531.9,1552.18,ETHUSDT_230929,18.333333333333332,1636.69,1638.29,1550.0,1569.56,ETHUSDT_231229,109.33333333333333
2023-09-12,1552.25,1629.05,1549.72,1592.53,ETHUSDT_230929,17.333333333333332,1568.81,1645.51,1567.09,1608.15,ETHUSDT_231229,108.33333333333333
2023-09-13,1592.59,1617.88,1580.92,1606.88,ETHUSDT_230929,16.333333333333332,1608.15,1635.48,1596.87,1624.08,ETHUSDT_231229,107.33333333333333
2023-09-14,1607.13,1643.39,1606.53,1624.85,ETHUSDT_230929,15.333333333333334,1624.08,1664.82,1623.79,1642.63,ETHUSDT_231229,106.33333333333333
2023-09-15,1625.8,1654.07,1610.11,1641.06,ETHUSDT_230929,14.333333333333334,1642.29,1671.75,1628.27,1658.83,ETHUSDT_231229,105.33333333333333
2023-09-16,1641.11,1652.75,1630.21,1633.71,ETHUSDT_230929,13.333333333333334,1657.84,1669.16,1647.01,1650.27,ETHUSDT_231229,104.33333333333333
2023-09-17,1633.7,1633.97,1610.0,1620.56,ETHUSDT_230929,12.333333333333334,1650.18,1651.35,1626.5,1636.5,ETHUSDT_231229,103.33333333333333
2023-09-18,1620.43,1667.6,1598.0,1635.51,ETHUSDT_230929,11.333333333333334,1637.48,1683.78,1614.53,1651.75,ETHUSDT_231229,102.33333333333333
2023-09-19,1634.42,1659.0,1623.99,1641.92,ETHUSDT_230929,10.333333333333334,1650.07,1674.6,1641.31,1656.79,ETHUSDT_231229,101.33333333333333
2023-09-20,1642.07,1648.22,1601.93,1621.04,ETHUSDT_230929,9.333333333333334,1656.92,1664.08,1618.0,1637.11,ETHUSDT_231229,100.33333333333333
2023-09-21,1621.0,1624.15,1566.03,1583.36,ETHUSDT_230929,8.333333333333334,1637.19,1639.38,1580.35,1598.13,ETHUSDT_231229,99.33333333333333
2023-09-22,1583.04,1602.12,1575.66,1592.02,ETHUSDT_230929,7.333333333333333,1598.08,1617.31,1591.66,1607.33,ETHUSDT_231229,98.33333333333333
2023-09-23,1607.18,1611.75,1600.37,1607.53,ETHUSDT_231229,97.33333333333333,,,,,,
2023-09-24,1607.89,1613.95,1582.23,1593.7,ETHUSDT_231229,96.33333333333333,,,,,,
2023-09-25,1593.58,1610.89,1575.0,1601.8,ETHUSDT_231229,95.33333333333333,,,,,,
2023-09-26,1601.85,1611.5,1594.0,1607.24,ETHUSDT_231229,94.33333333333333,,,,,,
2023-09-27,1607.62,1647.88,1597.33,1612.23,ETHUSDT_231229,93.33333333333333,,,,,,
2023-09-28,1612.27,1684.74,1611.73,1668.93,ETHUSDT_231229,92.33333333333333,,,,,,
2023-09-29,1668.94,1705.0,1664.0,1682.85,ETHUSDT_231229,91.33333333333333,1677.31,1717.81,1668.19,1701.44,ETHUSDT_240329,182.33333333333334
2023-09-30,1682.97,1709.21,1681.54,1685.71,ETHUSDT_231229,90.33333333333333,1701.44,1727.11,1698.24,1701.83,ETHUSDT_240329,181.33333333333334
2023-10-01,1685.79,1798.57,1682.35,1747.3,ETHUSDT_231229,89.33333333333333,1701.87,1770.0,1699.98,1763.44,ETHUSDT_240329,180.33333333333334
2023-10-02,1747.49,1759.1,1649.52,1679.27,ETHUSDT_231229,88.33333333333333,1764.79,1777.66,1669.92,1694.81,ETHUSDT_240329,179.33333333333334
2023-10-03,1679.06,1687.5,1658.71,1673.69,ETHUSDT_231229,87.33333333333333,1694.68,1703.16,1675.08,1690.17,ETHUSDT_240329,178.33333333333334
2023-10-04,1673.37,1674.4,1640.22,1662.08,ETHUSDT_231229,86.33333333333333,1689.96,1690.49,1656.93,1680.21,ETHUSDT_240329,177.33333333333334
2023-10-05,1661.81,1670.2,1620.0,1626.4,ETHUSDT_231229,85.33333333333333,1680.15,1687.1,1637.06,1643.99,ETHUSDT_240329,176.33333333333334
2023-10-06,1627.01,1677.0,1625.66,1659.03,ETHUSDT_231229,84.33333333333333,1643.99,1693.33,1641.44,1675.72,ETHUSDT_240329,175.33333333333334
2023-10-07,1659.39,1661.41,1643.65,1647.81,ETHUSDT_231229,83.33333333333333,1675.58,1678.02,1661.0,1664.29,ETHUSDT_240329,174.33333333333334
2023-10-08,1647.78,1655.84,1629.13,1646.97,ETHUSDT_231229,82.33333333333333,1664.36,1672.06,1647.04,1663.09,ETHUSDT_240329,173.33333333333334
