symbol,Timestamp,Rate,markPrice
BTCUSDT,2023-06-01 00:00:00,2.096e-05,
BTCUSDT,2023-06-01 08:00:00,9.641e-05,
BTCUSDT,2023-06-01 16:00:00,0.0001,
BTCUSDT,2023-06-02 00:00:00,4.77e-05,
BTCUSDT,2023-06-02 08:00:00,9.266e-05,
BTCUSDT,2023-06-02 16:00:00,9.946e-05,
BTCUSDT,2023-06-03 00:00:00,7.42e-05,
BTCUSDT,2023-06-03 08:00:00,0.0001,
BTCUSDT,2023-06-03 16:00:00,5.566e-05,
BTCUSDT,2023-06-04 00:00:00,4.85e-05,
BTCUSDT,2023-06-04 08:00:00,0.0001,
BTCUSDT,2023-06-04 16:00:00,0.0001,
BTCUSDT,2023-06-05 00:00:00,0.0001,
BTCUSDT,2023-06-05 08:00:00,9.538e-05,
BTCUSDT,2023-06-05 16:00:00,7.856e-05,
BTCUSDT,2023-06-06 00:00:00,-7.157e-05,
BTCUSDT,2023-06-06 08:00:00,-3.047e-05,
BTCUSDT,2023-06-06 16:00:00,4.288e-05,
BTCUSDT,2023-06-07 00:00:00,0.0001,
BTCUSDT,2023-06-07 08:00:00,0.0001,
BTCUSDT,2023-06-07 16:00:00,4.005e-05,
BTCUSDT,2023-06-08 00:00:00,5.504e-05,
BTCUSDT,2023-06-08 08:00:00,3.09e-05,
BTCUSDT,2023-06-08 16:00:00,4.011e-05,
BTCUSDT,2023-06-09 00:00:00,6.588e-05,
BTCUSDT,2023-06-09 08:00:00,7.916e-05,
BTCUSDT,2023-06-09 16:00:00,4.404e-05,
BTCUSDT,2023-06-10 00:00:00,8.702e-05,
BTCUSDT,2023-06-10 08:00:00,2.417e-05,
BTCUSDT,2023-06-10 16:00:00,3.854e-05,
BTCUSDT,2023-06-11 00:00:00,4.45e-05,
BTCUSDT,2023-06-11 08:00:00,3.197e-05,
BTCUSDT,2023-06-11 16:00:00,5.925e-05,
BTCUSDT,2023-06-12 00:00:00,8.66e-05,
BTCUSDT,2023-06-12 08:00:00,3.065e-05,
BTCUSDT,2023-06-12 16:00:00,3.624e-05,
BTCUSDT,2023-06-13 00:00:00,0.0001,
BTCUSDT,2023-06-13 08:00:00,6.18e-05,
BTCUSDT,2023-06-13 16:00:00,6.503e-05,
BTCUSDT,2023-06-14 00:00:00,2.438e-05,
BTCUSDT,2023-06-14 08:00:00,2.716e-05,
BTCUSDT,2023-06-14 16:00:00,3.661e-05,
BTCUSDT,2023-06-15 00:00:00,-3.265e-05,
BTCUSDT,2023-06-15 08:00:00,6.193e-05,
BTCUSDT,2023-06-15 16:00:00,6.687e-05,
BTCUSDT,2023-06-16 00:00:00,3.971e-05,
BTCUSDT,2023-06-16 08:00:00,7.81e-06,
BTCUSDT,2023-06-16 16:00:00,2.36e-06,
BTCUSDT,2023-06-17 00:00:00,9.868e-05,
BTCUSDT,2023-06-17 08:00:00,0.0001,
BTCUSDT,2023-06-17 16:00:00,7.543e-05,
BTCUSDT,2023-06-18 00:00:00,3.706e-05,
BTCUSDT,2023-06-18 08:00:00,8.233e-05,
BTCUSDT,2023-06-18 16:00:00,6.705e-05,
BTCUSDT,2023-06-19 00:00:00,7.04e-05,
BTCUSDT,2023-06-19 08:00:00,6.397e-05,
BTCUSDT,2023-06-19 16:00:00,3.69e-05,
BTCUSDT,2023-06-20 00:00:00,4.35e-05,
BTCUSDT,2023-06-20 08:00:00,-4.48e-06,
BTCUSDT,2023-06-20 16:00:00,-2.597e-05,
BTCUSDT,2023-06-21 00:00:00,6.295e-05,
BTCUSDT,2023-06-21 08:00:00,0.0001,
BTCUSDT,2023-06-21 16:00:00,2.551e-05,
BTCUSDT,2023-06-22 00:00:00,0.0001,
